RegistryID,TitleOfWork,YearOfInstallation,Status,DescriptionOfwork,ArtistProjectStatement,SiteName,SiteAddress,Neighbourhood,Latitude,Longitude,LocationOnsite,Type,PrimaryMaterial,Ownership,URL,PhotoURL,PhotoCredits,Artists
21,Captain John Deighton (Gassy Jack),1970,In place,"This 6'6"" bronze figure standing on a barrel is prominently located in Gastown and commemorates the man for whom Gastown is named. Born in 1830, ""Gassy"" Jack Deighton was an adventurer who went to sea and was attracted by the gold rush in California and then in New Caledonia (now British Columbia). He didn't strike it rich and instead became a tax man and a steamboat pilot and later ran a saloon which is why he stands on a whiskey barrel. The Globe Saloon which stood on the site was reputedly built in 24 hours by the thirsty workers. (Vancouver Sun, April 7, 2001, H3) The nickname Gassy Jack came from the fact that he talked so much. (drawn from Old Vancouver Townsite Walking Tour, Footprints Community Art Project, 2001)",The sculpture was commissioned by Larry Killam and others interested in improving business in the Gastown area in the early 1970s. Vern Simpson made the sculpture following a drawing by Fritz Jacobson. It was given as a Valentine's Day gift to the City.  Then Mayor Tom Campbell threatened to have it hauled away to the city dump.  Vandals later decapitated it but the head was returned for a $50 reward.,Gastown," Carrall, Water & Powell Street",Downtown,49.28335100,-123.10429600,,Memorial,copper stained with muriatic acid,City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=21,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=21&ImageId=15,Barbara Cole,134
22,Untitled (Cenotaph),1959,In place,,,Grandview Park,Commercial Dr. & William Street,Grandview-Woodland,49.27352000,-123.06979600,"In centre of lawn, along Commercial Drive.",Memorial,Granite,City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=22,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=22&ImageId=16,,195
23,Untitled (mural),1980,In place,,,White House Apartments,2033 Comox Street,West End,49.29101200,-123.14303600,"Exterior, either side of entrance",Mural,Paint on concrete,private,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=23,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=23&ImageId=17,,29
24,Angel of Victory,1921,In place,"A heritage monument, this bronze figurative sculpture depicts an angel carrying a dead soldier and commemorates those who lost their lives in World War I. This is one of three identical statues commissioned by the Canadian Pacific Railway in 1921 to honour their workers who answered the call of ""king and country"" and made the ultimate sacrifice.  The others are in Winnipeg and Montreal.  The angel  originally held a full wreath in her upraised hand. After WW II, the dates of that war were also added to the plaque.",The artist won the CPR commission from a nation-wide competition.,Waterfront Station,601 West Cordova Street,Downtown,49.28525000,-123.11140600,East of front entrance,Memorial,bronze,Cadillac Fairview,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=24,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=24&ImageId=955,Maxime Cyr-Morton,94
25,Celebration,1986,In place,,,Sinclair Centre,Cordova & Granville Street,Downtown,,,"interior, central plaza",Sculpture,"Wood, paint",private,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=25,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=25&ImageId=19,,75
26,Centennial Pole (totem),1958,In place,"""Each of the ten figures is the crest of one of the ten Kwakiwaka'wakw clans representing the mythical ancestry of the clan.  From the top down:: chief wearing high crowned hat and robe; Beaver; Old Man; Thunderbird and Sea Otter holding seal; Raven head down; whale with face for blowhole; woman crouching on head of Sisiutl; Halibut with human in its body; Cedar Man with head and neck rings.""  (From Totem Poles, Hilary Stewart, 1990, Douglas & McIntyre)","The original pole was commissioned by the province in 1958 and presented to Queen Elizabeth.  The pole is 30.5m (100ft) high representing one foot for each year of the Province's existence at the time. The original log was a 600 year old red cedar from the Queen Charlotte Islands. At the First Cut Ceremony, Lt. Gov. Frank M. Ross made the first cut into the log. Mungo Martin worked with his nephew Henry Hunt and his son David Martin to complete the pole in seven months. This pole stands in Windsor Great Park in England. The Vancouver pole is an exact duplicate. - ibid, Stewart",Hadden Park,Odgen Street & Cypress Street,Kitsilano,49.27753300,-123.14750000,North end of Cypress Street,Totem,wood,City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=26,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=26&ImageId=869,Maxime Cyr-Morton,100
27,Solo,1986,In place,An abstract sculpture of stainless steel with carved cedar planks that fan out in a spiral.,"""McHaffie says she means to show movement, but not flight. 'My perception of the world is that very little of it is stable,' she says."" -Vancouver Sun, July 19,1986                                             The sculpture was installed as one of ten pieces in the City Shapes sculpture symposium in the City's centennial year.",Devonian Harbour Park,Denman & Georgia Street,Downtown,49.29331300,-123.13396500,Lawn along Georgia Street,Sculpture,"Stainless steel, cedar",City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=27,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=27&ImageId=21,"SITE Photography, 2016",103
28,Untitled (Mural),1975,Removed,,,Vancouver Bus Depot (Downtown),Dunsmuir & Cambie Street (Downtown),Downtown,49.28059000,-123.11150000,West side of building,Mural,Paint,private,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=28,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=28&ImageId=22,,143
29,Hastings Mill Commemorative,1966,In place,A commemorative sculpture based on three abstract tree trunk forms made of BC granite set in a circle in varying heights. There are relief carvings in the stone that recall the history of logging and milling.,"The sculpture was to mark the spot of the old Hastings Mill near the National Harbours Board Building. The National Harbours Board, the Hamber Foundation and the Koerner Foundation all contributed to the project.",Flying Angel Seamen's Club,Dunlevy Street (north end),Downtown,49.28620800,-123.09487100,North off parking lot,Sculpture,Three forms of BC granite,private,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=29,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=29&ImageId=23,,41
30,Cross of Sacrifice,,In place,The Cross of Sacrifice is a piece specific to the Commonwealth War Graves Commission (www.cwgc.org).,,Mountain View Cemetary,39th Avenue and Prince Edward Street,Riley Park,49.23463900,-123.09689800,"Jones Section, Block 45 (enter the cemetery at 39th and Fraser and drive straight to the west end of the cemetery)",Memorial,granite,City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=30,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=30&ImageId=24,,195
31,Untitled (sculpture),1972,Removed,A glass prism on a bronze pedestal contains six spheres which reflect the traffic patterns on  the Georgia Viaduct.  The sculpture is surrounded by shrubs.,,Abutment Park,Georgia & Beatty Street,Downtown,49.27897700,-123.11220000,S.W. corner of park,Sculpture,"Glass, Plexiglas & bronze",City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=31,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=31&ImageId=25,,264
32,Untitled (Silver Bird),1974,Removed,,"The artist said that ""The sculpture to me was like a silent song.""  Piece was removed by owners and donated to City of Surrey in 1988, where it was supposed to go in front of the justice centre. However, it was disassembled and stored.  It was sold for scrap metal in 1996. It was reported to have been an accident by city staff but the union said the city manager ordered it sold. Surrey issued a public apology to the artist.  (K. Sinoski, Province, Mar 4, 1996)",Pacific Centre (Downtown),Granville & Georgia Street (Downtown),,49.28271300,-123.11810000,Centre of plaza,Sculpture,Stainless steel,private,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=32,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=32&ImageId=26,,264
33,Ice Skater,1968,Removed,,,MacMillan Bloedel Bldg. (Downtown),1075 West Georgia Street (Downtown),Downtown,49.28586400,-123.12219000,"Interior, lobby",Sculpture,Bronze,private,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=33,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=33&ImageId=27,,96
34,#182 sous-bois a l'automne,1968,In place,,,MacMillan Bloedel Bldg.,1075 West Georgia Street,Downtown,49.28586400,-123.12219000,Interior west side,Tapestry,wool,Privately Owned,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=34,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=34&ImageId=28,,125
35,#183 sous-bois au printemps,1968,In place,,,MacMillan Bloedel Bldg.,1075 West Georgia Street,Downtown,49.28586400,-123.12219000,Interior east side,Tapestry,wool,private,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=35,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=35&ImageId=29,,125
36,Untitled,1970,In place,,,West Coast Transmission Bldg.,1333 West Georgia Street,Downtown,49.28899000,-123.12753200,,Sculpture,"Steel, plastic",private,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=36,,,73
37,Untitled,,In place,,,CBC Building, 700 Hamilton,Downtown,49.27920600,-123.11496100,in front of building,Sculpture,fibreglass,Government of Canada,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=37,,,158
38,Queen Elizabeth Plaza Centennial Fountain,1971,In place,"A modernist sculpture representing two spheres, one inside the other, with water flowing from the interior sphere.","The original design was to be two granite figures, one male and one female, representing immigrants, .... (source: E.Godley, The Greater Vancouver Book), p210)",Queen Elizabeth Theatre Plaza,West Georgia & Hamilton Street,Downtown,49.28008700,-123.11330700,South side in plaza,Fountain,"Bronze, steel",City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=38,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=38&ImageId=30,,41
39,Florentine Door & Wall #3,1967,In place,The work is a cast bronze block form with arched openings and extraneous forms attached.,Vancouver Centennial Committee Purchase Award 1967,Queen Elizabeth Playhouse,Dunsmuir and Hamilton,Downtown,49.28051800,-123.11298900,"Exterior, north of the Playhouse lobby",Sculpture,Bronze,City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=39,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=39&ImageId=772,Maxime Cyr-Morton,116
40,Horse,1976,Removed,"This sculpture was removed and replaced in 2000 by ""Royal Sweet Diamond"" by Joe Fafard.",,BC Turf Bldg. (Downtown),475 West Georgia Street (Downtown),,49.28148600,-123.11520700,Left of entrance,Sculpture,Bronze,private,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=40,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=40&ImageId=32,,241
41,Untitled,,In place,,,Main Post Office, 349 West Georgia Street,Downtown,49.28054800,-123.11444200,lobby,Mural,ceramic,Government of Canada,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=41,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=41&ImageId=33,Maxime Cyr-Morton,76
42,The Postman,1955,In place,,,Main Post Office,349 West Georgia,Downtown,49.28063000,-123.11481000,SW corner on Homer Street,Sculpture,Red granite,Government of Canada,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=42,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=42&ImageId=34,Maxime Cyr-Morton,76
43,B.C. Centennial Fountain,1966,Removed,The fountain was commissioned by the BC Government in 1966 when the building was still a courthouse. The tile floor of the pool looks like water rippling and there are faces carved into the stone that rises in the middle of the pool.,,Vancouver Art Gallery,750 Hornby Street,Downtown,49.28287900,-123.12046100,Front plaza,Fountain,"Bronze, ceramic tile",Province of British Columbia,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=43,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=43&ImageId=35,,128;231
44,Untitled (Pair of Lions),1910,In place,"Two granite lions rest on either side of the stairs leading up to the old court house, now the Vancouver Art Gallery. They are modeled after those in Trafalgar Square in London.  Each weighs 15 tons.",,Vancouver Art Gallery,750 Hornby Street,Downtown,49.28304600,-123.12010300,"Exterior, on Georgia Street stairway",Sculpture,Granite,Province of British Columbia,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=44,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=44&ImageId=36,,21;161
45,King Edward VII Fountain,1912,In place,"The fountain is considered a heritage monument, a memorial to King Edward VII. It was initially equipped with bronze cups on chains,  but these were quickly stolen and never replaced.","Members of the Imperial Order of Daughters of the Empire commissioned sculptor Charles Marega in 1912.  The fountain was dedicated to the memory of King Edward VII and, until 1966, was prominently located in front of the Courthouse building on W. Georgia.  The 1983 conversion of the building into Vancouver's art gallery sparked renewed interest in the fountain.  Brought out of storage, the sculpture now graces the west side of the building, facing Hornby Street.",Vancouver Art Gallery,750 Hornby Street at Georgia,Downtown,49.28324100,-123.12062000,Along Hornby Street,Memorial,"Concrete, bronze, ceramic",Province of British Columbia,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=45,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=45&ImageId=37,Karen Henry,98
46,Untitled (Sculpture),1973,Removed,"Seventy-four upright cedar blocks, 3'x3' each by varying heights from 2' to 17' and each set in a 6"" base. These timbers are set on end in a seemingly random pattern on six concrete pads in the middle of Granville Square and mostly enclosed within a 50 foot diameter circle of red tiles. The sculpture measures about 40 feet by 60 feet and is roughly in the shape of a cross.  Known as ""Phifer's Fountain"", this work was commissioned in 1973 by the CPR and Marathon Realty to address a plaza of which the zoning panel of the day said ""a truly `civic square', as the developers propose, should be more generous and festive in concept."" (Rezoning application, October 1968) This plaza was described in the 1969 development permit application as ""developed with trees, sitting area, fountain, grass mounds, architectural lighting, etc."" Somewhere along the line, the ""fountain"" turned into a 30 foot by 60 foot sculpture.""The CPR went to Washington State to find someone to design these columns of squared timber to represent, in abstract form, BC forests. The wood used would supply enough timber to build 10 homes."" (A Guide to Sculpture in Vancouver, Peggy Imredy, 1980)By 2002, some of these columns had deteriorated substantially and Marathon wanted to redevelop the plaza. Some effort was made to find a new home for this quintessential 70s work, with the artist choosing to give it to the interior community of Princeton, where it currently stands as the gateway to the Trans Canada Trail. http://town.princeton.bc.ca/newpages/parksandrec/phifersfount.html#",,Granville Square Plaza 200 (Downtown),North end of Granville Street (Downtown),Downtown,49.28883500,-123.11220000,Centre of plaza,Sculpture,Western red cedar,private,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=46,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=46&ImageId=38,,118
